#!,Workbook:,Custom,Custom
#!,Para reproducir estos datos: abra el archivo original de Excel, haga clic en el botón *Importar archivo de datos* de la pestaña *Secuencia de datos* de la cinta de opciones y desplácese hasta este archivo.
#!,Para obtener más información, visite http://aka.ms/hackingstem/
0.48,5,-4.5703125000
0.48,5,-4.5703125000
0.48,5,-4.5703125000
0.49,5,-4.5703125000
0.49,5,-4.5703125000
0.49,5,-4.5703125000
0.49,5,-4.5703125000
0.49,5,-4.5703125000
0.50,5,-4.5703125000
0.50,5,-4.5703125000
0.50,5,-4.5703125000
0.50,5,-4.5703125000
0.50,5,-4.5703125000
0.50,5,-4.5703125000
0.51,5,-4.5703125000
0.51,5,-4.5703125000
0.51,5,-4.5703125000
0.51,5,-4.5703125000
0.51,5,-4.5703125000
0.52,5,-4.5703125000
0.52,5,-4.5703125000
0.52,5,-4.5703125000
0.52,5,-4.5703125000
0.52,5,-4.5703125000
0.52,5,-4.5703125000
0.53,5,-4.5703125000
0.53,5,-4.5703125000
0.53,5,-4.5703125000
0.53,5,-4.5703125000
0.53,5,-4.5703125000
0.54,5,-4.5703125000
0.54,5,-4.5703125000
0.54,5,-4.5703125000
0.54,5,-4.5703125000
0.54,5,-4.5703125000
0.55,5,-4.5703125000
0.55,5,-4.5703125000
0.55,5,-4.5703125000
0.55,5,-4.5703125000
0.55,5,-4.5703125000
0.56,5,-4.5703125000
0.56,5,-4.5703125000
0.56,5,-4.5703125000
0.56,5,-4.5703125000
0.56,5,-4.5703125000
0.56,5,-4.5703125000
0.57,5,-4.5703125000
0.57,5,-4.5703125000
0.57,5,-4.5703125000
0.57,5,-4.5703125000
0.57,5,-4.5703125000
0.58,5,-4.5703125000
0.58,5,-4.5703125000
0.58,5,-4.5703125000
0.58,5,-4.5703125000
0.58,5,-4.5703125000
0.58,5,-4.5703125000
0.59,5,-4.5703125000
0.59,5,-4.5703125000
0.59,5,-4.5703125000
0.59,5,-4.5703125000
0.59,5,-4.5703125000
0.60,5,-4.5703125000
0.60,5,-4.5703125000
0.60,5,-4.5703125000
0.60,5,-4.5703125000
0.60,5,-4.5703125000
0.61,5,-4.5703125000
0.61,5,-4.5703125000
0.61,5,-4.5703125000
0.61,5,-4.5703125000
0.61,5,-4.5703125000
0.61,5,-4.5703125000
0.62,5,-4.5703125000
0.62,5,-4.5703125000
0.62,5,-4.5703125000
0.62,5,-4.5703125000
0.62,5,-4.5703125000
0.63,5,-4.5703125000
0.63,5,-4.5703125000
0.63,5,-4.5703125000
0.63,5,-4.5703125000
0.63,5,-4.5703125000
0.63,5,-4.5703125000
0.64,5,-4.5703125000
0.64,5,-4.5703125000
0.64,5,-4.5703125000
0.64,5,-4.5703125000
0.65,5,-4.5703125000
0.65,5,-4.5703125000
0.65,5,-4.5703125000
0.65,5,-4.5703125000
0.65,5,-4.5703125000
0.65,5,-4.5703125000
0.66,5,-4.5703125000
0.66,5,-4.5703125000
0.66,5,-4.5703125000
0.66,5,-4.5703125000
0.66,5,-4.5703125000
0.67,5,-4.5703125000
0.67,5,-4.5703125000
0.67,5,-4.5703125000
0.67,5,-4.5703125000
0.67,5,-4.5703125000
0.67,5,-4.5703125000
0.68,5,-4.5703125000
0.68,5,-4.5703125000
0.68,5,-4.5703125000
0.68,5,-4.5703125000
0.69,5,-4.5703125000
0.69,5,-4.5703125000
0.69,5,-4.5703125000
0.69,5,-4.5703125000
0.69,5,-4.5703125000
0.69,5,-4.5703125000
0.70,5,-4.5703125000
0.70,5,-4.5703125000
0.70,5,-4.5703125000
0.70,5,-4.5703125000
0.70,5,-4.5703125000
0.70,5,-4.5703125000
0.71,5,-4.5703125000
0.71,5,-4.5703125000
0.71,5,-4.5703125000
0.71,5,-4.5703125000
0.71,5,-4.5703125000
0.72,5,-4.5703125000
0.72,5,-4.5703125000
0.72,5,-4.5703125000
0.72,5,-4.5703125000
0.72,5,-4.5703125000
0.73,5,-4.5703125000
0.73,5,-4.5703125000
0.73,5,-4.5703125000
0.73,5,-4.5703125000
0.73,5,-4.5703125000
0.74,5,-4.5703125000
0.74,5,-4.5703125000
0.74,5,-4.5703125000
0.74,5,-4.5703125000
0.74,5,-4.5703125000
0.74,5,-4.5703125000
0.75,5,-4.5703125000
0.75,5,-4.5703125000
0.75,5,-4.5703125000
0.75,5,-4.5703125000
0.75,5,-4.5703125000
0.75,5,-4.5703125000
0.76,5,-4.5703125000
0.76,5,-4.5703125000
0.76,5,-4.5703125000
0.76,5,-4.5703125000
0.76,5,-4.5703125000
0.77,5,-4.5703125000
0.77,5,-4.5703125000
0.77,5,-4.5703125000
0.77,5,-4.5703125000
0.77,5,-4.5703125000
0.78,5,-4.5703125000
0.78,5,-4.5703125000
0.78,5,-4.5703125000
0.78,5,-4.5703125000
0.78,5,-4.5703125000
0.79,5,-4.5703125000
0.79,5,-4.5703125000
0.79,5,-4.5703125000
0.79,5,-4.5703125000
0.79,5,-4.5703125000
0.79,5,-4.5703125000
0.80,5,-4.5703125000
0.80,5,-4.5703125000
0.80,5,-4.5703125000
0.80,5,-4.5703125000
0.80,5,-4.5703125000
0.81,5,-4.5703125000
0.81,5,-4.5703125000
0.81,5,-4.5703125000
0.81,5,-4.5703125000
0.81,5,-4.5703125000
0.81,5,-4.5703125000
0.82,5,-4.5703125000
0.82,5,-4.5703125000
0.82,5,-4.5703125000
0.82,5,-4.5703125000
0.83,5,-4.5703125000
0.83,5,-4.5703125000
0.83,5,-4.5703125000
0.83,5,-4.5703125000
0.83,5,-4.5703125000
0.83,5,-4.5703125000
0.83,5,-4.5703125000
0.84,5,-4.5703125000
0.84,5,-4.5703125000
0.84,5,-4.5703125000
0.84,5,-4.5703125000
0.85,5,-4.5703125000
0.85,5,-4.5703125000
0.85,5,-4.5703125000
0.85,5,-4.5703125000
0.85,5,-4.5703125000
0.86,5,-4.5703125000
0.86,5,-4.5703125000
0.86,5,-4.5703125000
0.86,5,-4.5703125000
0.86,5,-4.5703125000
0.86,5,-4.5703125000
0.87,5,-4.5703125000
0.87,5,-4.5703125000
0.87,5,-4.5703125000
0.87,5,-4.5703125000
0.87,5,-4.5703125000
0.88,5,-4.5703125000
0.88,5,-4.5703125000
0.88,5,-4.5703125000
0.88,5,-4.5703125000
0.88,5,-4.5703125000
0.88,5,-4.5703125000
0.89,5,-4.5703125000
0.89,5,-4.5703125000
0.89,5,-4.5703125000
0.89,5,-4.5703125000
0.89,5,-4.5703125000
0.90,5,-4.5703125000
0.90,5,-4.5703125000
0.90,5,-4.5703125000
0.90,5,-4.5703125000
0.90,5,-4.5703125000
0.90,5,-4.5703125000
0.91,5,-4.5703125000
0.91,5,-4.5703125000
0.91,5,-4.5703125000
0.91,5,-4.5703125000
0.91,5,-4.5703125000
0.92,5,-4.5703125000
0.92,5,-4.5703125000
0.92,5,-4.5703125000
0.92,5,-4.5703125000
0.92,5,-4.5703125000
0.93,5,-4.5703125000
0.93,5,-4.5703125000
0.93,5,-4.5703125000
0.93,5,-4.5703125000
0.93,5,-4.5703125000
0.93,5,-4.5703125000
0.94,5,-4.5703125000
0.94,5,-4.5703125000
0.94,5,-4.5703125000
0.94,5,-4.5703125000
0.94,5,-4.5703125000
0.95,5,-4.5703125000
0.95,5,-4.5703125000
0.95,5,-4.5703125000
0.95,5,-4.5703125000
0.95,5,-4.5703125000
0.95,5,-4.5703125000
0.96,5,-4.5703125000
0.96,5,-4.5703125000
0.96,5,-4.5703125000
0.96,5,-4.5703125000
0.96,5,-4.5703125000
0.97,5,-4.5703125000
0.97,5,-4.5703125000
0.97,5,-4.5703125000
0.97,5,-4.5703125000
0.97,5,-4.5703125000
0.98,5,-4.5703125000
0.98,5,-4.5703125000
0.98,5,-4.5703125000
0.98,5,-4.5703125000
0.98,5,-4.5703125000
0.99,5,-4.5703125000
0.99,5,-4.5703125000
0.99,5,-4.5703125000
0.99,5,-4.5703125000
0.99,5,-4.5703125000
1.00,5,-4.5703125000
1.00,5,-4.5703125000
1.00,5,-4.5703125000
1.00,5,-4.5703125000
1.00,5,-4.5703125000
1.00,5,-4.5703125000
1.01,5,-4.5703125000
1.01,5,-4.5703125000
1.01,5,-4.5703125000
1.01,5,-4.5703125000
1.01,5,-4.5703125000
1.01,5,-4.5703125000
1.02,5,-4.5703125000
1.02,5,-4.5703125000
1.02,5,-4.5703125000
1.02,5,-4.5703125000
1.02,5,-4.5703125000
1.03,5,-4.5703125000
1.03,5,-4.5703125000
