Column1;Column2;Column3;;5;30
1,15;5;-4,4824219;;;
1,15;5;-4,4824219;;;
1,15;5;-4,4824219;;;
1,15;5;-4,4824219;;;
1,15;5;-4,4824219;;;
1,16;5;-4,4824219;;;
1,16;5;-4,4824219;;;
1,16;5;-4,4824219;;;
1,16;5;-4,4824219;;;
1,16;5;-4,4824219;;;
1,16;5;-4,4824219;;;
1,17;5;-4,4824219;;;
1,17;5;-4,4824219;;;
1,17;5;-4,4824219;;;
1,17;5;-4,4824219;;;
1,17;5;-4,4824219;;;
1,18;5;-4,4824219;;;
1,18;5;-4,4824219;;;
1,18;5;-4,4824219;;;
1,18;5;-4,4824219;;;
1,18;5;-4,4824219;;;
1,18;5;-4,4824219;;;
1,19;5;-4,4824219;;;
1,19;5;-4,4824219;;;
1,19;5;-4,4824219;;;
1,19;5;-4,4824219;;;
1,2;5;-4,4824219;;;
1,2;5;-4,4824219;;;
1,2;5;-4,4824219;;;
1,2;5;-4,4824219;;;
1,2;5;-4,4824219;;;
1,2;5;-4,4824219;;;
1,21;5;-4,4824219;;;
1,21;5;-4,4824219;;;
1,21;5;-4,4824219;;;
1,21;5;-4,4824219;;;
1,21;5;-4,4824219;;;
1,22;5;-4,4824219;;;
1,22;5;-4,4824219;;;
1,22;5;-4,4824219;;;
1,22;5;-4,4824219;;;
1,22;5;-4,4824219;;;
1,22;5;-4,4824219;;;
1,23;5;-4,4824219;;;
1,23;5;-4,4824219;;;
1,23;5;-4,4824219;;;
1,23;5;-4,4824219;;;
1,23;5;-4,4824219;;;
1,24;5;-4,4824219;;;
1,24;5;-4,4824219;;;
1,24;5;-4,4824219;;;
1,24;5;-4,4824219;;;
1,24;5;-4,4824219;;;
1,25;5;-4,4824219;;;
1,25;5;-4,4824219;;;
1,25;5;-4,4824219;;;
1,25;5;-4,4824219;;;
1,25;5;-4,4824219;;;
1,25;5;-4,4824219;;;
1,26;5;-4,4824219;;;
1,26;5;-4,4824219;;;
1,26;5;-4,4824219;;;
1,26;5;-4,4824219;;;
1,26;5;-4,4824219;;;
1,27;5;-4,4824219;;;
1,27;5;-4,4824219;;;
1,27;5;-4,4824219;;;
1,27;5;-4,4824219;;;
1,27;5;-4,4824219;;;
1,27;5;-4,4824219;;;
1,28;5;-4,4824219;;;
1,28;5;-4,4824219;;;
1,28;5;-4,4824219;;;
1,28;5;-4,4824219;;;
1,28;5;-4,4824219;;;
1,29;5;-4,4824219;;;
1,29;5;-4,4824219;;;
1,29;5;-4,4824219;;;
1,29;5;-4,4824219;;;
1,29;5;-4,4824219;;;
1,3;5;-4,4824219;;;
1,3;5;-4,4824219;;;
1,3;5;-4,4824219;;;
1,3;5;-4,4824219;;;
1,3;5;-4,4824219;;;
1,3;5;-4,4824219;;;
1,31;5;-4,4824219;;;
1,31;5;-4,4824219;;;
1,31;5;-4,4824219;;;
1,31;5;-4,4824219;;;
1,31;5;-4,4824219;;;
1,32;5;-4,4824219;;;
1,32;5;-4,4824219;;;
1,32;5;-4,4824219;;;
1,32;5;-4,4824219;;;
1,32;5;-4,4824219;;;
1,33;5;-4,4824219;;;
1,33;5;-4,4824219;;;
1,33;5;-4,4824219;;;
1,33;5;-4,4824219;;;
1,33;5;-4,4824219;;;
1,34;5;-4,4824219;;;
1,34;5;-4,4824219;;;
1,34;5;-4,4824219;;;
1,34;5;-4,4824219;;;
1,34;5;-4,4824219;;;
1,34;5;-4,4824219;;;
1,35;5;-4,4824219;;;
1,35;5;-4,4824219;;;
1,35;5;-4,4824219;;;
1,35;5;-4,4824219;;;
1,35;5;-4,4824219;;;
1,36;5;-4,4824219;;;
1,36;5;-4,4824219;;;
1,36;5;-4,4824219;;;
1,36;5;-4,4824219;;;
1,36;5;-4,4824219;;;
1,36;5;-4,4824219;;;
1,37;5;-4,4824219;;;
1,37;5;-4,4824219;;;
1,37;5;-4,4824219;;;
1,37;5;-4,4824219;;;
1,37;5;-4,4824219;;;
1,38;5;-4,4824219;;;
1,38;5;-4,4824219;;;
1,38;5;-4,4824219;;;
1,38;5;-4,4824219;;;
1,38;5;-4,4824219;;;
1,38;5;-4,4824219;;;
1,39;5;-4,4824219;;;
1,39;5;-4,4824219;;;
1,39;5;-4,4824219;;;
1,39;5;-4,4824219;;;
1,39;5;-4,4824219;;;
1,4;5;-4,4824219;;;
1,4;5;-4,4824219;;;
1,4;5;-4,4824219;;;
1,4;5;-4,4824219;;;
1,4;5;-4,4824219;;;
1,4;5;-4,4824219;;;
1,41;5;-4,4824219;;;
1,41;5;-4,4824219;;;
1,41;5;-4,4824219;;;
1,41;5;-4,4824219;;;
1,42;5;-4,4824219;;;
1,42;5;-4,4824219;;;
1,42;5;-4,4824219;;;
1,42;5;-4,4824219;;;
1,42;5;-4,4824219;;;
1,42;5;-4,4824219;;;
1,43;5;-4,4824219;;;
1,43;5;-4,4824219;;;
1,43;5;-4,4824219;;;
1,43;5;-4,4824219;;;
1,43;5;-4,4824219;;;
1,44;5;-4,4824219;;;
1,44;5;-4,4824219;;;
1,44;5;-4,4824219;;;
1,44;5;-4,4824219;;;
1,44;5;-4,4824219;;;
1,45;5;-4,4824219;;;
1,45;5;-4,4824219;;;
1,45;5;-4,4824219;;;
1,45;5;-4,4824219;;;
1,45;5;-4,4824219;;;
1,46;5;-4,4824219;;;
1,46;5;-4,4824219;;;
1,46;5;-4,4824219;;;
1,46;5;-4,4824219;;;
1,46;5;-4,4824219;;;
1,46;5;-4,4824219;;;
1,47;5;-4,4824219;;;
1,47;5;-4,4824219;;;
1,47;5;-4,4824219;;;
1,47;5;-4,4824219;;;
1,47;5;-4,4824219;;;
1,48;5;-4,4824219;;;
1,48;5;-4,4824219;;;
1,48;5;-4,4824219;;;
1,48;5;-4,4824219;;;
1,48;5;-4,4824219;;;
1,48;5;-4,4824219;;;
1,49;5;-4,4824219;;;
1,49;5;-4,4824219;;;
1,49;5;-4,4824219;;;
1,49;5;-4,4824219;;;
1,49;5;-4,4824219;;;
1,5;5;-4,4824219;;;
1,5;5;-4,4824219;;;
1,5;5;-4,4824219;;;
1,5;5;-4,4824219;;;
1,5;5;-4,4824219;;;
1,5;5;-4,4824219;;;
1,51;5;-4,4824219;;;
1,51;5;-4,4824219;;;
1,51;5;-4,4824219;;;
1,51;5;-4,4824219;;;
1,51;5;-4,4824219;;;
1,52;5;-4,4824219;;;
1,52;5;-4,4824219;;;
1,52;5;-4,4824219;;;
1,52;5;-4,4824219;;;
1,52;5;-4,4824219;;;
1,52;5;-4,4824219;;;
1,53;5;-4,4824219;;;
1,53;5;-4,4824219;;;
1,53;5;-4,4824219;;;
1,53;5;-4,4824219;;;
1,53;5;-4,4824219;;;
1,54;5;-4,4824219;;;
1,54;5;-4,4824219;;;
1,54;5;-4,4824219;;;
1,54;5;-4,4824219;;;
1,54;5;-4,4824219;;;
1,55;5;-4,4824219;;;
1,55;5;-4,4824219;;;
1,55;5;-4,4824219;;;
1,55;5;-4,4824219;;;
1,55;5;-4,4824219;;;
1,56;5;-4,4824219;;;
1,56;5;-4,4824219;;;
1,56;5;-4,4824219;;;
1,56;5;-4,4824219;;;
1,56;5;-4,4824219;;;
1,57;5;-4,4824219;;;
1,57;5;-4,4824219;;;
1,57;5;-4,4824219;;;
1,57;5;-4,4824219;;;
1,57;5;-4,4824219;;;
1,57;5;-4,4824219;;;
1,58;5;-4,4824219;;;
1,58;5;-4,4824219;;;
1,58;5;-4,4824219;;;
1,58;5;-4,4824219;;;
1,58;5;-4,4824219;;;
1,59;5;-4,4824219;;;
1,59;5;-4,4824219;;;
1,59;5;-4,4824219;;;
1,59;5;-4,4824219;;;
1,59;5;-4,4824219;;;
1,6;5;-4,4824219;;;
1,6;5;-4,4824219;;;
1,6;5;-4,4824219;;;
1,6;5;-4,4824219;;;
1,6;5;-4,4824219;;;
1,6;5;-4,4824219;;;
1,61;5;-4,4824219;;;
1,61;5;-4,4824219;;;
1,61;5;-4,4824219;;;
1,61;5;-4,4824219;;;
1,61;5;-4,4824219;;;
1,61;5;-4,4824219;;;
1,62;5;-4,4824219;;;
1,62;5;-4,4824219;;;
1,62;5;-4,4824219;;;
